repository,language,architecture,community,continuous_integration,documentation,history,issues,license,size,unit_test,stars,scorebased_org,randomforest_org,scorebased_utl,randomforest_utl
sladage/qca,C++,0.959538,1,0,0.218870,16.666668,0.166667,1,63421,0.000000,2,0,1,1,1
kverty/homeworks,C++,0.850000,1,0,0.023937,43.000000,10.000000,0,6035,0.000000,0,0,1,1,1
Wumpf/ivct,C++,0.803571,1,0,0.182681,23.000000,5.000000,0,7919,0.490087,1,0,1,1,1
DirtyUnicorns/android_device_sony_qcom-common,C++,0.625000,5,0,0.097206,5.437500,0.000000,1,4952,0.718567,0,1,1,1,1
DirtyUnicorns/android_hardware_qcom_media-legacy,C++,0.636364,23,0,0.158005,2.803922,0.000000,1,57511,0.041122,0,1,1,1,1
RetroShare/rssocialnet,C++,0.952941,2,0,0.184476,5.375000,0.062500,0,17797,0.151846,4,1,1,1,1
CyanogenMod/android_device_lge_hammerheadcaf,C++,0.861878,24,0,0.199660,48.875000,0.000000,1,99966,0.012568,12,1,1,1,1
libcxx4Nuttx/libcxx,C++,0.996332,4,0,0.152552,32.666668,0.000000,1,326224,0.964175,0,1,1,1,1
libcxx4Nuttx/libcxxabi,C++,0.903614,7,0,0.070544,9.022222,0.000000,1,55712,0.052642,0,1,1,1,1
RAR1741/wpilib,C++,0.950441,8,0,0.236392,64.466667,0.000000,1,307321,0.504314,0,1,1,1,1
Corei13/Ozone,C++,1.000000,1,0,0.118689,12.000000,1.000000,0,6950,0.000000,0,0,1,1,1
lastyouth/platform_frameworks_native,C++,0.914077,56,0,0.153627,159.000000,0.000000,1,185967,0.128497,0,1,1,1,1
mapbox/node-mapbox-gl-native,C++,0.923077,2,1,0.053030,122.000000,19.000000,1,1639,0.000000,32,1,1,1,1
microcai/bilibili_player,C++,0.956835,1,0,0.112664,115.000000,3.000000,1,126389,0.001144,33,1,1,1,1
auviitkgp/kraken_3.0,C++,0.787879,3,0,0.238078,13.500000,1.375000,0,20572,0.000000,10,0,1,1,1
ssengine/glrenderer,C++,1.000000,2,0,0.029907,13.000000,1.000000,0,1039,0.383168,1,1,1,1,1
mbasaglia/Melanobot_v2,C++,1.000000,1,0,0.301875,148.000000,4.000000,1,10134,0.049126,2,1,1,1,1
raynorpat/Doom3,C++,0.874766,1,0,0.207586,36.000000,1.000000,1,534411,0.000856,6,0,1,1,1
hvellyr/sairy,C++,0.823529,2,0,0.108075,201.000000,3.000000,1,74853,0.440412,0,1,1,1,1
khusika/android_hardware_qcom_media-caf,C++,0.644444,16,0,0.154584,6.781818,0.000000,1,60182,0.037575,0,1,1,1,1
CognitiveRobotics/object_tracking_2d_ros,C++,1.000000,1,0,0.031848,21.000000,1.000000,1,7092,0.000000,0,0,1,1,1
android-ia/platform_external_chromium_org_testing_gtest,C++,0.887755,2,0,0.284146,5.000000,0.000000,1,39340,0.540949,0,1,1,1,1
android-ia/device_generic_goldfish,C++,0.869281,7,0,0.140407,5.000000,0.000000,1,40904,0.057501,0,1,1,1,1
inexor-game/googletest,C++,0.888889,3,0,0.283906,5.304878,0.000000,1,40694,0.538497,0,1,1,1,1
yinquan529/platform-external-icu4c,C++,0.952451,3,0,0.266691,6.415094,0.000000,1,528806,0.332513,0,1,1,1,1
xbmc/kodi-platform,C++,0.774194,7,0,0.240743,0.857143,0.085714,1,7361,0.514145,4,1,1,1,1
omapzoom/platform-ndk,C++,0.927930,12,0,0.164732,64.619049,0.000000,1,742370,0.038227,0,1,1,1,0
omapzoom/platform-external-v8,C++,0.988166,8,0,0.131998,4.632653,0.000000,1,744936,0.010121,0,1,1,1,0
omapzoom/platform-hardware-qcom-media,C++,0.633094,11,0,0.142627,4.906977,0.000000,1,102935,0.021692,0,1,1,1,1
omapzoom/platform-external-stlport,C++,0.670020,13,0,0.174234,2.404255,0.000000,1,84655,0.319408,0,1,1,1,1
omapzoom/platform-external-skia,C++,0.970424,12,0,0.149403,14.476190,0.000000,1,309678,0.103680,0,1,1,1,1
omapzoom/platform-external-clang,C++,0.932937,22,0,0.293331,636.597229,0.000000,1,754892,0.026296,0,1,1,1,1
patriciogonzalezvivo/glslViewer,C++,0.846154,1,0,0.096864,33.666668,2.333333,1,1370,0.225858,137,1,1,1,1
ofZach/ofxCef,C++,0.891892,2,0,0.340196,37.000000,4.500000,1,41542,0.014208,19,1,1,1,1
cvjena/cn24,C++,0.957143,1,0,0.221299,66.500000,4.000000,1,7144,0.000000,62,0,1,1,1
MultiSight/framestore_client,C++,0.750000,2,0,0.149758,7.000000,1.000000,1,880,0.000000,0,1,1,1,1
pristineio/webrtc-mirror,C++,0.935431,17,0,0.168615,417.000000,0.000000,1,650016,0.140279,22,1,1,1,1
android-ia/platform_external_chromium_org_third_party_libaddressinput_src,C++,0.854839,3,0,0.255640,6.600000,0.000000,1,16835,0.444175,0,1,1,1,1
Mindwerks/pyplatec,C++,0.857143,1,1,0.255441,6.214286,0.214286,1,3155,0.254149,5,1,1,1,1
peterhuene/puppetcpp,C++,0.988636,1,0,0.181380,11.333333,1.333333,1,18618,0.027617,0,1,1,1,1
yinquan529/platform-external-chromium_org-third_party-libjingle-source-talk,C++,0.951515,7,0,0.205351,17.500000,0.000000,1,195948,0.009798,0,1,1,1,1
florianhauer/HighDimMSP,C++,0.947368,2,0,0.052384,29.000000,1.000000,1,6113,0.000000,0,1,1,1,1
guybarnahum/ocv,C++,0.966711,1,0,0.122957,42.000000,1.000000,1,224867,0.005369,4,1,1,1,1
aktaylor08/clang-pass,C++,1.000000,1,0,0.182077,156.000000,1.000000,0,7176,0.052076,1,0,1,1,1
roboticslab-uc3m/asibot-main,C++,0.854749,1,0,0.271511,54.230770,0.153846,1,20855,0.000000,0,0,1,1,1
Dreams-Lp/platform_frameworks_native,C++,0.915905,52,0,0.152015,142.947372,0.000000,1,190428,0.115758,0,1,1,1,1
ClimateGlobalChange/tempestremap,C++,0.929825,1,0,0.298343,5.000000,6.000000,0,13786,0.000000,0,0,1,1,1
ChaiScript/ChaiScript_Extras,C++,1.000000,2,0,0.046564,9.000000,2.000000,1,8008,0.918396,2,1,1,1,1
cloudius-systems/seastar,C++,0.976048,7,0,0.194797,90.333336,3.333333,1,25645,0.078004,1485,1,1,1,1
rock-planning/planning-bfsf,C++,0.920792,2,0,0.164453,2.666667,0.333333,1,30120,0.000000,0,1,1,1,1
